valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.91,1977,0.5,['Idris Muhammad'],0.894,273067,0.521,0,0KdzyvsBqX1HV3uLxGm2JV,0.772,4,0.068,-7.047999999999999,1,Camby Bolongo,34,1977,0.0847,126.805
0.583,1976,0.93,['Stan Getz'],0.585,182200,0.272,0,1f4eO5waC6glPLXUhYKLm2,0.115,11,0.128,-16.692999999999998,0,Just One of Those Things,26,1976,0.0802,90.104
0.647,1994,0.157,"['Warren G', 'The Twinz']",0.878,179933,0.52,1,1X07ZfF5KQt8dyJ5kAkVAQ,0.0,7,0.173,-12.609000000000002,1,Recognize,38,1994-06-07,0.403,90.744
0.196,1957,0.937,['Red Garland Quintet'],0.463,925947,0.287,0,5wmMDeM4qvLfwqLa2cvoks,0.8370000000000001,0,0.112,-11.758,0,Soul Junction,13,1957,0.0363,186.764
0.422,1921,0.995,['Ignacio Corsini'],0.648,154240,0.0995,0,0SK1upzAP6NvIgF0uGh6z2,0.846,11,0.112,-22.429,1,Flor Marchita - Remasterizado,0,1921-03-20,0.105,71.97800000000002
0.119,2017,0.144,['PARTYNEXTDOOR'],0.424,272340,0.419,1,16aNJYinJv9AAetWD5yJen,0.0,1,0.174,-8.503,1,Freak in You,62,2017-06-02,0.054,86.5
0.265,1972,0.569,['Big Star'],0.585,58907,0.356,0,4s8oEXoqMtMLcM7JqsHVCW,3.81e-05,2,0.0848,-12.365,1,ST 100/6,23,1972,0.0352,88.758
0.0806,1951,0.977,"['Giacomo Puccini', 'Giovanni Inghilleri', 'Renata Tebaldi', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",0.307,194573,0.0267,0,1LFJdyV9hCKHfCMO6Sp9wA,0.0,5,0.156,-24.962,1,Madama Butterfly / Act 2: Ora a noi. Sedete qui,0,1951-01-01,0.0802,76.89399999999998
0.618,1966,0.718,['Nancy Wilson'],0.634,130720,0.684,0,6RsJIcoNvEyMKuXqnhJ71f,0.000714,4,0.171,-5.712999999999999,0,My Babe,25,1966-01-01,0.0643,75.75
0.403,1985,0.000147,['Big Black'],0.361,149000,0.873,1,0XGcXc6VkB5dx6RNWxV0rF,0.261,1,0.308,-10.335,1,Big Money,25,1985-06-01,0.0429,177.327
0.457,2009,0.00151,['Skillet'],0.384,176707,0.909,0,7oc2wH81jpU45L5H2JnThI,0.0,11,0.331,-3.706,0,Dead Inside,48,2009-08-24,0.0568,159.999
0.8859999999999999,2006,0.588,['Kenny Vance and the Planotones'],0.715,153480,0.439,0,00Y89Ir6nXEQdKQb3GLjet,0.0,5,0.0826,-8.904,1,Sh Boom (Life Could Be A Dream),42,2006-03-05,0.037,130.481
0.191,1999,1.87e-05,['Metallica'],0.26,421467,0.943,0,1ZCj3AabIF9OtX1ZMKvhnE,0.00342,3,0.958,-4.1930000000000005,1,Wherever I May Roam - Live with the SFSO,35,1999-11-23,0.0661,136.349
0.532,1976,0.595,['Tyrone Davis'],0.528,302960,0.291,0,2SPs02zSDefyC5m5PXOgk5,0.00575,7,0.601,-15.028,1,I Got Carried Away,22,1976,0.028,86.073
0.0581,1986,0.96,"['Cocteau Twins', 'Harold Budd']",0.205,455800,0.0257,0,5K5NG7aJtMgnu0a4FNP3Yv,0.945,11,0.0936,-26.922,1,The Ghost Has No Home,34,1986-11-10,0.0395,112.679
0.691,1990,0.0798,['Brand Nubian'],0.731,303040,0.857,1,6i4Gu9ogL4kClgBzj3NZ6g,8.8e-06,9,0.0772,-13.358,1,Slow Down,49,1990-11-30,0.19,95.879
0.222,1938,0.979,"['Wolfgang Amadeus Mozart', 'Lili Kraus', 'Willy Boskovsky', 'Nikolaus Hubner']",0.279,523173,0.127,0,4BPbUQtLjiuq8sJsAA4680,0.212,3,0.151,-23.18,1,"Trio No. 3 in B-Flat Major, K. 502: II. Larghetto",0,1938,0.034,83.789
0.78,1992,0.7,"['Chalino Sanchez', 'Los Amables Del Norte']",0.488,212544,0.534,0,7rd82DIvm0g5fviPOQLCIB,0.00024,7,0.0313,-6.879,1,Me Persigue Tu Sombra,46,1992-01-01,0.124,181.30900000000003
0.966,2012,0.551,['Los Rehenes'],0.738,192000,0.441,0,7lbUjUWKj7X9ihNLTyfdBP,0.0,11,0.101,-7.069,1,El Bastardo,50,2012,0.074,182.617
0.865,1966,0.175,['The Kinks'],0.603,132280,0.627,0,1y0o9nvT3hytrBTZldfqPq,0.0,2,0.134,-6.65,1,Dandy - Mono Mix,33,1966-10-28,0.0274,92.092
0.252,1982,0.8740000000000001,['Simon & Garfunkel'],0.26,231560,0.109,0,4e41Kd7WsZ0CfomJihS3GE,0.000257,2,0.745,-21.998,1,"Scarborough Fair - Live at Central Park, New York, NY - September 19, 1981",45,1982-02-16,0.0368,112.751
0.821,1958,0.622,['Cannonball Adderley'],0.477,280440,0.489,0,5L8QJVWnRtbvCisADn8hio,0.0334,7,0.0996,-12.46,0,Our Delight,8,1958-02-04,0.0539,142.477
0.4,1956,0.9,"['Antônio Carlos Jobim', 'Roberto Paiva']",0.541,128053,0.501,0,3Sbd2TsEkiMljik57jipK2,1.46e-05,9,0.14,-8.568,0,Lamento No Morro,22,1956-01-01,0.052,105.565
0.4970000000000001,2019,0.664,"['Dan + Shay', 'Tori Kelly']",0.562,208960,0.383,0,7nsOsdlqa9Srr1LBYyd9pC,0.0,6,0.259,-6.063,1,Speechless (feat. Tori Kelly),62,2019-06-07,0.0337,135.15
0.708,1965,0.633,['The Sonics'],0.578,128840,0.963,0,5aUMz88bQDj3iq9pvg9Ojy,0.0,9,0.312,-5.424,0,Good Golly Miss Molly,20,1965,0.0865,88.24
0.203,1975,0.889,"['Johann Pachelbel', 'English Chamber Orchestra', 'Raymond Leppard']",0.232,385000,0.119,0,17sG8zyElel8hXJrbIB6SE,0.758,2,0.197,-20.666,1,"Canon and Gigue in D Major, P. 37: Canon",29,1975,0.0363,89.038
0.402,1996,0.0281,['Sneaker Pimps'],0.5870000000000001,228840,0.687,0,7KvSuH86lIT2aTl9PBCAfd,0.14,1,0.121,-8.635,0,6 Underground,51,1996-08-18,0.0509,169.938
0.884,1969,0.578,['Jerry Lee Lewis'],0.481,110000,0.66,0,1pJwMlTh6torJVXWl4YPnk,0.0,5,0.199,-7.1229999999999976,1,Save the Last Dance For Me,35,1969-01-01,0.0369,162.093
0.701,2008,0.158,['Lykke Li'],0.8190000000000001,273427,0.736,0,0Ps4Eh6SQjeLnubbCsQTDD,0.00161,7,0.109,-6.504,1,Little Bit,56,2008-06-02,0.0416,120.318
0.5760000000000001,1989,0.00356,['The Offspring'],0.325,172040,0.87,0,1ejPkf1UqU2jGgivZLGj6u,0.00391,9,0.175,-6.979,0,Beheaded,34,1989-06-15,0.0533,148.17700000000005
0.311,1987,0.0349,['U2'],0.371,351565,0.773,0,7oxLbNqm9xz5fUyCJXjgbn,0.0428,8,0.98,-9.452,1,“40” - Live,37,1987-03-03,0.0412,145.222
0.76,1960,0.498,['Michelino e il suo complesso'],0.8959999999999999,156173,0.546,0,0PZIYTYPA7UnCYAIP03cMR,3.42e-06,1,0.114,-9.949,1,Cha cha cha de las segretarias - Remastered,24,1960-03-08,0.067,114.091
0.841,1959,0.7390000000000001,"['La Sonora Matancera', 'Celia Cruz']",0.589,183827,0.747,0,6QX6sNhLiptL1o5q55OXzW,0.0349,10,0.301,-5.847,1,"Cao, Cao, Maní Picao",38,1959-01-01,0.176,91.159
0.718,1983,0.107,['Duran Duran'],0.626,396720,0.905,0,3H7scEmUzArXtHFFuGlPZC,1.56e-05,9,0.407,-6.477,0,The Reflex - Dance Mix; 2010 Remaster,31,1983-11-21,0.0988,126.613
